Total fitness,Total levels ended,Avg.levels ended,Total cells passed,Avg. cells passed,Total time spent,Avg. time spent,Total time left,Avg. time left,Total kills,Avg. kills,Total items collected,Avg. itmes collected,Total kills by fire,Avg. kills by fire,Total kills by shell,Avg. kills by shell,Total kills by stomp,Avg. kills by stomp
52763.598,0.0,0.0,1925.0,106.94444,989.0,54.944443,802.0,44.555557,37.0,2.0555556,4.0,0.22222222,30.0,1.6666666,0.0,0.0,7.0,0.3888889
68019.89,2.0,0.11111111,2457.0,136.5,1112.0,61.77778,677.0,37.61111,59.0,3.2777777,3.0,0.16666667,43.0,2.3888888,3.0,0.16666667,11.0,0.6111111
54350.363,3.0,0.16666667,2041.0,113.388885,1032.0,57.333332,758.0,42.11111,22.0,1.2222222,1.0,0.055555556,17.0,0.9444444,0.0,0.0,5.0,0.2777778
40479.547,1.0,0.055555556,1425.0,79.166664,933.0,51.833332,855.0,47.5,24.0,1.3333334,0.0,0.0,21.0,1.1666666,1.0,0.055555556,2.0,0.11111111
46216.383,2.0,0.11111111,1752.0,97.333336,1051.0,58.38889,738.0,41.0,30.0,1.6666666,2.0,0.11111111,23.0,1.2777778,1.0,0.055555556,6.0,0.33333334
49512.03,1.0,0.055555556,1857.0,103.166664,1031.0,57.27778,757.0,42.055557,30.0,1.6666666,0.0,0.0,27.0,1.5,0.0,0.0,3.0,0.16666667
50006.766,1.0,0.055555556,1824.0,101.333336,815.0,45.27778,973.0,54.055557,42.0,2.3333333,2.0,0.11111111,25.0,1.3888888,4.0,0.22222222,13.0,0.7222222
53853.344,2.0,0.11111111,1953.0,108.5,951.0,52.833332,837.0,46.5,37.0,2.0555556,2.0,0.11111111,29.0,1.6111112,0.0,0.0,8.0,0.44444445
61928.64,5.0,0.2777778,2215.0,123.05556,1239.0,68.833336,549.0,30.5,33.0,1.8333334,1.0,0.055555556,26.0,1.4444444,0.0,0.0,7.0,0.3888889
59675.332,3.0,0.16666667,2276.0,126.44444,1245.0,69.166664,546.0,30.333334,50.0,2.7777777,5.0,0.2777778,43.0,2.3888888,0.0,0.0,7.0,0.3888889
61455.164,3.0,0.16666667,2333.0,129.61111,1074.0,59.666668,714.0,39.666668,60.0,3.3333333,3.0,0.16666667,42.0,2.3333333,1.0,0.055555556,17.0,0.9444444
52747.703,2.0,0.11111111,1929.0,107.166664,1061.0,58.944443,727.0,40.38889,54.0,3.0,3.0,0.16666667,35.0,1.9444444,1.0,0.055555556,18.0,1.0
50829.344,3.0,0.16666667,1943.0,107.94444,1167.0,64.833336,623.0,34.61111,34.0,1.8888888,2.0,0.11111111,25.0,1.3888888,0.0,0.0,9.0,0.5
52674.82,1.0,0.055555556,2018.0,112.111115,1032.0,57.333332,757.0,42.055557,44.0,2.4444444,3.0,0.16666667,27.0,1.5,2.0,0.11111111,14.0,0.7777778
57244.723,2.0,0.11111111,2198.0,122.111115,1278.0,71.0,514.0,28.555555,31.0,1.7222222,2.0,0.11111111,24.0,1.3333334,0.0,0.0,7.0,0.3888889
62168.207,2.0,0.11111111,2161.0,120.05556,975.0,54.166668,815.0,45.27778,60.0,3.3333333,1.0,0.055555556,40.0,2.2222223,0.0,0.0,20.0,1.1111112
46683.33,1.0,0.055555556,1741.0,96.72222,921.0,51.166668,868.0,48.22222,39.0,2.1666667,2.0,0.11111111,25.0,1.3888888,2.0,0.11111111,12.0,0.6666667
50367.203,3.0,0.16666667,1736.0,96.44444,1193.0,66.27778,598.0,33.22222,43.0,2.3888888,1.0,0.055555556,30.0,1.6666666,2.0,0.11111111,11.0,0.6111111
54331.703,2.0,0.11111111,2040.0,113.333336,1123.0,62.38889,670.0,37.22222,47.0,2.6111112,0.0,0.0,36.0,2.0,0.0,0.0,11.0,0.6111111
57327.887,1.0,0.055555556,2158.0,119.888885,1081.0,60.055557,708.0,39.333332,59.0,3.2777777,2.0,0.11111111,47.0,2.6111112,2.0,0.11111111,10.0,0.5555556
