Total fitness,Total levels ended,Avg.levels ended,Total cells passed,Avg. cells passed,Total time spent,Avg. time spent,Total time left,Avg. time left,Total kills,Avg. kills,Total items collected,Avg. itmes collected,Total kills by fire,Avg. kills by fire,Total kills by shell,Avg. kills by shell,Total kills by stomp,Avg. kills by stomp
50524.082,0.0,0.0,1931.0,107.27778,1320.0,73.333336,472.0,26.222221,37.0,2.0555556,3.0,0.16666667,31.0,1.7222222,0.0,0.0,6.0,0.33333334
63531.207,2.0,0.11111111,2213.0,122.94444,1086.0,60.333332,704.0,39.11111,50.0,2.7777777,5.0,0.2777778,39.0,2.1666667,1.0,0.055555556,10.0,0.5555556
53117.86,3.0,0.16666667,1892.0,105.111115,1012.0,56.22222,776.0,43.11111,30.0,1.6666666,4.0,0.22222222,19.0,1.0555556,1.0,0.055555556,10.0,0.5555556
36586.67,0.0,0.0,1349.0,74.94444,972.0,54.0,820.0,45.555557,14.0,0.7777778,0.0,0.0,12.0,0.6666667,0.0,0.0,2.0,0.11111111
43881.098,2.0,0.11111111,1547.0,85.94444,1008.0,56.0,781.0,43.38889,33.0,1.8333334,1.0,0.055555556,27.0,1.5,0.0,0.0,6.0,0.33333334
50711.25,1.0,0.055555556,1860.0,103.333336,1101.0,61.166668,688.0,38.22222,34.0,1.8888888,4.0,0.22222222,21.0,1.1666666,3.0,0.16666667,10.0,0.5555556
50788.754,1.0,0.055555556,1846.0,102.55556,1041.0,57.833332,747.0,41.5,43.0,2.3888888,5.0,0.2777778,25.0,1.3888888,8.0,0.44444445,10.0,0.5555556
47351.15,1.0,0.055555556,1691.0,93.94444,922.0,51.22222,868.0,48.22222,34.0,1.8888888,5.0,0.2777778,28.0,1.5555556,0.0,0.0,6.0,0.33333334
57023.703,2.0,0.11111111,2273.0,126.27778,1465.0,81.388885,327.0,18.166666,25.0,1.3888888,3.0,0.16666667,13.0,0.7222222,0.0,0.0,12.0,0.6666667
49733.484,0.0,0.0,1912.0,106.22222,1149.0,63.833332,640.0,35.555557,36.0,2.0,6.0,0.33333334,28.0,1.5555556,0.0,0.0,8.0,0.44444445
58858.844,3.0,0.16666667,2238.0,124.333336,1148.0,63.77778,643.0,35.72222,52.0,2.8888888,3.0,0.16666667,29.0,1.6111112,2.0,0.11111111,21.0,1.1666666
60222.28,3.0,0.16666667,2218.0,123.22222,1251.0,69.5,538.0,29.88889,65.0,3.6111112,7.0,0.3888889,51.0,2.8333333,8.0,0.44444445,6.0,0.33333334
50537.24,2.0,0.11111111,1922.0,106.77778,1174.0,65.22222,617.0,34.27778,37.0,2.0555556,2.0,0.11111111,22.0,1.2222222,3.0,0.16666667,12.0,0.6666667
45914.2,1.0,0.055555556,1632.0,90.666664,917.0,50.944443,873.0,48.5,36.0,2.0,4.0,0.22222222,29.0,1.6111112,1.0,0.055555556,6.0,0.33333334
61359.92,3.0,0.16666667,2302.0,127.888885,1081.0,60.055557,707.0,39.27778,32.0,1.7777778,3.0,0.16666667,25.0,1.3888888,1.0,0.055555556,6.0,0.33333334
56244.11,1.0,0.055555556,1880.0,104.44444,866.0,48.11111,922.0,51.22222,59.0,3.2777777,8.0,0.44444445,46.0,2.5555556,2.0,0.11111111,11.0,0.6111111
49679.39,2.0,0.11111111,1752.0,97.333336,961.0,53.38889,828.0,46.0,40.0,2.2222223,2.0,0.11111111,31.0,1.7222222,2.0,0.11111111,7.0,0.3888889
40974.61,1.0,0.055555556,1457.0,80.94444,1149.0,63.833332,642.0,35.666668,31.0,1.7222222,2.0,0.11111111,20.0,1.1111112,4.0,0.22222222,7.0,0.3888889
48346.31,2.0,0.11111111,1728.0,96.0,1035.0,57.5,754.0,41.88889,40.0,2.2222223,1.0,0.055555556,36.0,2.0,0.0,0.0,4.0,0.22222222
53716.125,2.0,0.11111111,1880.0,104.44444,845.0,46.944443,943.0,52.38889,39.0,2.1666667,2.0,0.11111111,27.0,1.5,1.0,0.055555556,11.0,0.6111111
