Total fitness,Total levels ended,Avg.levels ended,Total cells passed,Avg. cells passed,Total time spent,Avg. time spent,Total time left,Avg. time left,Total kills,Avg. kills,Total items collected,Avg. itmes collected,Total kills by fire,Avg. kills by fire,Total kills by shell,Avg. kills by shell,Total kills by stomp,Avg. kills by stomp
46583.55,0.0,0.0,1737.0,96.5,907.0,50.38889,883.0,49.055557,32.0,1.7777778,1.0,0.055555556,20.0,1.1111112,1.0,0.055555556,11.0,0.6111111
57637.336,0.0,0.0,2190.0,121.666664,1065.0,59.166668,726.0,40.333332,41.0,2.2777777,1.0,0.055555556,32.0,1.7777778,0.0,0.0,9.0,0.5
49706.95,3.0,0.16666667,1876.0,104.22222,1108.0,61.555557,681.0,37.833332,25.0,1.3888888,1.0,0.055555556,19.0,1.0555556,0.0,0.0,6.0,0.33333334
43711.31,2.0,0.11111111,1592.0,88.44444,1103.0,61.27778,687.0,38.166668,20.0,1.1111112,1.0,0.055555556,14.0,0.7777778,0.0,0.0,6.0,0.33333334
46428.55,2.0,0.11111111,1631.0,90.611115,717.0,39.833332,1069.0,59.38889,28.0,1.5555556,1.0,0.055555556,15.0,0.8333333,5.0,0.2777778,7.0,0.3888889
51067.33,1.0,0.055555556,1898.0,105.44444,990.0,55.0,798.0,44.333332,32.0,1.7777778,1.0,0.055555556,23.0,1.2777778,0.0,0.0,9.0,0.5
48588.035,1.0,0.055555556,1917.0,106.5,908.0,50.444443,881.0,48.944443,25.0,1.3888888,2.0,0.11111111,13.0,0.7222222,0.0,0.0,12.0,0.6666667
42226.504,0.0,0.0,1520.0,84.44444,786.0,43.666668,1001.0,55.61111,25.0,1.3888888,1.0,0.055555556,20.0,1.1111112,0.0,0.0,5.0,0.2777778
52727.344,2.0,0.11111111,2022.0,112.333336,1168.0,64.888885,622.0,34.555557,27.0,1.5,1.0,0.055555556,16.0,0.8888889,0.0,0.0,11.0,0.6111111
49589.348,1.0,0.055555556,1907.0,105.94444,1073.0,59.61111,718.0,39.88889,36.0,2.0,3.0,0.16666667,28.0,1.5555556,0.0,0.0,8.0,0.44444445
58212.707,4.0,0.22222222,2132.0,118.44444,998.0,55.444443,789.0,43.833332,48.0,2.6666667,0.0,0.0,33.0,1.8333334,4.0,0.22222222,11.0,0.6111111
52950.39,2.0,0.11111111,1989.0,110.5,1167.0,64.833336,622.0,34.555557,58.0,3.2222223,3.0,0.16666667,38.0,2.1111112,4.0,0.22222222,16.0,0.8888889
45913.023,3.0,0.16666667,1749.0,97.166664,1098.0,61.0,691.0,38.38889,29.0,1.6111112,1.0,0.055555556,18.0,1.0,1.0,0.055555556,10.0,0.5555556
48227.305,1.0,0.055555556,1866.0,103.666664,1074.0,59.666668,716.0,39.77778,30.0,1.6666666,2.0,0.11111111,19.0,1.0555556,1.0,0.055555556,10.0,0.5555556
55601.742,2.0,0.11111111,2116.0,117.55556,1105.0,61.38889,683.0,37.944443,30.0,1.6666666,1.0,0.055555556,21.0,1.1666666,1.0,0.055555556,8.0,0.44444445
51148.16,2.0,0.11111111,1647.0,91.5,561.0,31.166666,1223.0,67.94444,43.0,2.3888888,2.0,0.11111111,33.0,1.8333334,0.0,0.0,10.0,0.5555556
48876.984,1.0,0.055555556,1903.0,105.72222,975.0,54.166668,813.0,45.166668,38.0,2.1111112,2.0,0.11111111,24.0,1.3333334,1.0,0.055555556,13.0,0.7222222
43572.066,0.0,0.0,1691.0,93.94444,1232.0,68.44444,561.0,31.166666,27.0,1.5,1.0,0.055555556,17.0,0.9444444,0.0,0.0,10.0,0.5555556
50465.29,2.0,0.11111111,1926.0,107.0,1047.0,58.166668,744.0,41.333332,36.0,2.0,0.0,0.0,24.0,1.3333334,1.0,0.055555556,11.0,0.6111111
55042.73,1.0,0.055555556,1949.0,108.27778,905.0,50.27778,882.0,49.0,52.0,2.8888888,1.0,0.055555556,42.0,2.3333333,1.0,0.055555556,9.0,0.5
