1	1	30.95	30.95	30.95
2	2	31.05	31.05	31.05
3	3	38.65	38.65	38.65
4	4	41.95	41.95	41.95
5	5	40.3	40.3	40.3
6	6	39.35	39.35	39.35
7	7	38.7	38.7	38.7
8	8	41.05	41.05	41.05
9	9	39.8	39.8	39.8
10	10	40.4	40.4	40.4
11	11	39.4	39.4	39.4
12	12	40.6	40.6	40.6
13	13	40.3	40.3	40.3
14	14	41.75	41.75	41.75
15	15	38.8	38.8	38.8
16	16	40.6	40.6	40.6
17	17	41.25	41.25	41.25
18	18	27.8	27.8	27.8
19	19	41.6	41.6	41.6
20	20	45.65	45.65	45.65
21	21	39.85	39.85	39.85
22	22	38.65	38.65	38.65
23	23	43.25	43.25	43.25
24	24	36.85	36.85	36.85
25	25	41.1	41.1	41.1
